"","X","date","likeCount","year","popularity","time","word","sentiment"
"281",48474,17,0,2018,"normal",1,"trump","positive"
"282",48477,17,0,2018,"normal",1,"bad","negative"
"283",48482,17,0,2018,"normal",1,"disillusion","negative"
"284",48495,17,0,2018,"normal",1,"sick","negative"
"285",48496,17,0,2018,"normal",1,"tired","negative"
"286",48505,17,0,2018,"normal",1,"trick","negative"
"287",48508,17,0,2018,"normal",1,"discredit","negative"
"288",48542,17,0,2018,"normal",1,"strike","negative"
"289",48547,17,0,2018,"normal",1,"fall","negative"
"290",48548,17,0,2018,"normal",1,"posturing","negative"
"291",48553,17,0,2018,"normal",1,"shame","negative"
"292",48559,17,0,2018,"normal",1,"shame","negative"
"293",48561,17,1,2018,"normal",1,"worry","negative"
"294",48563,17,1,2018,"normal",1,"trump","positive"
"295",48583,17,0,2018,"normal",1,"ready","positive"
"296",48584,17,0,2018,"normal",1,"winning","positive"
"297",48588,17,0,2018,"normal",1,"failed","negative"
"298",48598,17,0,2018,"normal",1,"cloud","negative"
"299",48600,17,0,2018,"normal",1,"killing","negative"
"300",48610,17,0,2018,"normal",1,"bomb","negative"
"301",48614,17,0,2018,"normal",1,"liars","negative"
"302",48617,17,0,2018,"normal",1,"propaganda","negative"
"303",48620,17,0,2018,"normal",1,"killing","negative"
"304",48621,17,0,2018,"normal",1,"poor","negative"
"305",48632,17,0,2018,"normal",1,"attack","negative"
"306",48636,17,0,2018,"normal",1,"lies","negative"
"307",48637,17,0,2018,"normal",1,"propaganda","negative"
"308",48640,17,0,2018,"normal",1,"death","negative"
"309",48641,17,0,2018,"normal",1,"destruction","negative"
"310",48647,17,0,2018,"normal",1,"intelligence","positive"
"311",48652,17,0,2018,"normal",1,"intelligence","positive"
"312",48658,17,0,2018,"normal",1,"pointless","negative"
"313",48661,17,0,2018,"normal",1,"retards","negative"
"314",48662,17,0,2018,"normal",1,"trump","positive"
"315",48669,17,0,2018,"normal",1,"rape","negative"
"316",48676,17,0,2018,"normal",1,"hail","positive"
"317",48678,17,0,2018,"normal",1,"lies","negative"
"318",48679,17,0,2018,"normal",1,"propaganda","negative"
"319",48681,17,0,2018,"normal",1,"attack","negative"
"320",48697,17,0,2018,"normal",1,"accomplished","positive"
"321",48698,17,0,2018,"normal",1,"trump","positive"
"322",48705,17,0,2018,"normal",1,"risk","negative"
"323",48708,17,0,2018,"normal",1,"fake","negative"
"324",48717,17,0,2018,"normal",1,"coarse","negative"
"325",48735,17,0,2018,"normal",1,"propaganda","negative"
"326",48736,17,0,2018,"normal",1,"stupid","negative"
"327",48739,17,0,2018,"normal",1,"critical","negative"
"328",48743,17,0,2018,"normal",1,"ignorant","negative"
"329",48744,17,0,2018,"normal",1,"lazy","negative"
"330",48745,17,0,2018,"normal",1,"stupid","negative"
"331",48762,17,0,2018,"normal",1,"powerful","positive"
"332",48768,17,0,2018,"normal",1,"win","positive"
"333",48771,17,0,2018,"normal",1,"trouble","negative"
"334",48782,17,0,2018,"normal",1,"truthful","positive"
"335",48789,17,0,2018,"normal",1,"attack","negative"
"336",48794,17,0,2018,"normal",1,"ridiculous","negative"
"337",48801,17,0,2018,"normal",1,"powerful","positive"
"338",48807,17,0,2018,"normal",1,"trump","positive"
"339",48811,17,0,2018,"normal",1,"sad","negative"
"340",48813,17,0,2018,"normal",1,"elite","positive"
"341",48814,17,0,2018,"normal",1,"win","positive"
"342",48815,17,0,2018,"normal",1,"bomb","negative"
"343",48816,17,0,2018,"normal",1,"bomb","negative"
"344",48818,17,0,2018,"normal",1,"bomb","negative"
"345",48821,17,1,2018,"normal",1,"cool","positive"
"346",48838,17,0,2018,"normal",1,"losing","negative"
"347",48852,17,0,2018,"normal",1,"attack","negative"
"348",48856,17,0,2018,"normal",1,"weakening","negative"
"349",48858,17,0,2018,"normal",1,"enemies","negative"
"350",48862,17,0,2018,"normal",1,"stupid","negative"
"351",48872,17,0,2018,"normal",1,"wrong","negative"
"352",48873,17,0,2018,"normal",1,"evil","negative"
"353",48876,17,0,2018,"normal",1,"dump","negative"
"354",48890,17,0,2018,"normal",1,"trump","positive"
"355",48891,17,0,2018,"normal",1,"evil","negative"
"356",48902,17,0,2018,"normal",1,"trump","positive"
"357",48906,17,0,2018,"normal",1,"helped","positive"
"358",48916,17,3,2018,"good",1,"impressively","positive"
"359",48936,17,3,2018,"good",1,"cripple","negative"
"360",48937,17,3,2018,"good",1,"destroy","negative"
"361",48950,17,3,2018,"good",1,"threats","negative"
"362",48958,17,0,2018,"normal",1,"suck","negative"
"363",48964,17,0,2018,"normal",1,"fake","negative"
"364",48968,17,0,2018,"normal",1,"blind","negative"
"365",48970,17,0,2018,"normal",1,"stupid","negative"
"366",48975,17,0,2018,"normal",1,"obliterated","negative"
"367",48979,17,0,2018,"normal",1,"wrong","negative"
"368",49003,17,0,2018,"normal",1,"capability","positive"
"369",49009,17,0,2018,"normal",1,"trap","negative"
"370",49017,17,0,2018,"normal",1,"excuse","negative"
"371",49018,17,0,2018,"normal",1,"protect","positive"
"372",49024,17,0,2018,"normal",1,"miss","negative"
"373",49035,17,0,2018,"normal",1,"die","negative"
"374",49039,17,0,2018,"normal",1,"lies","negative"
"375",49060,17,0,2018,"normal",1,"destroy","negative"
"376",49073,17,0,2018,"normal",1,"threats","negative"
"377",49075,17,0,2018,"normal",1,"lose","negative"
"378",49078,17,0,2018,"normal",1,"lied","negative"
"379",49080,17,0,2018,"normal",1,"pinch","negative"
"380",49086,17,0,2018,"normal",1,"complaints","negative"
"381",49092,17,0,2018,"normal",1,"fool","negative"
"382",49095,17,0,2018,"normal",1,"fool","negative"
"383",49102,17,0,2018,"normal",1,"loose","negative"
"384",49105,17,0,2018,"normal",1,"respect","positive"
"385",49107,17,0,2018,"normal",1,"dragged","negative"
"386",49109,17,2,2018,"good",1,"trump","positive"
"387",49119,17,0,2018,"normal",1,"trump","positive"
"388",49128,17,0,2018,"normal",1,"pretentious","negative"
"389",49130,17,0,2018,"normal",1,"lying","negative"
"390",49139,17,0,2018,"normal",1,"evil","negative"
"391",49142,17,70,2018,"popular",1,"liar","negative"
"392",49149,17,0,2018,"normal",1,"attack","negative"
"393",49153,17,0,2018,"normal",1,"embarrassing","negative"
"394",49156,17,0,2018,"normal",1,"trump","positive"
"395",49157,17,0,2018,"normal",1,"collusion","negative"
"396",49161,17,0,2018,"normal",1,"dead","negative"
"397",49171,17,0,2018,"normal",1,"clean","positive"
"398",49185,17,0,2018,"normal",1,"bs","negative"
"399",49188,17,0,2018,"normal",1,"die","negative"
"400",49192,17,0,2018,"normal",1,"attack","negative"
