,textOriginal,date,likeCount,year,popularity,time
158,scraatch scraatch  first they founded  trained  armed them  now  theyre bombing them  crazy empire of the permanent choas,2014/9/23,0,2014,normal,1
159,amurca respecting world lawsthis is what it look likefuk you syriayes we can,2014/9/23,1,2014,normal,1
160,syria was informed before the air strikes and president of syria backed it dont get all fuck butt hurt we got permission,2014/9/23,0,2014,normal,1
161,who wants to make a wager with me that the us has missed  of their targets<U+00A0> <U+00A0>  cmon<U+00A0>  ill take any bets<U+00A0> <U+00A0> <U+00A0><U+00A0> <U+00A0>,2014/9/23,0,2014,normal,1
162,great another  year war in the middle east that no one asked for and no one wants,2014/9/23,0,2014,normal,1
163,alla snack bar ,2014/9/23,0,2014,normal,1
164,they are taking down president assads regime now will cause russia to react with overwhelming force ww now but do not blame russia,2014/9/23,0,2014,normal,1
165,the most phoney false war in the history of modern warfare and i guaranteed that no isis fighter died in this bombing and it is well known that isis fighters backed by us special ops actually directed the bombing and missiles onto syrian army targets,2014/9/23,0,2014,normal,1
166,if us  coalition planes are bombing isis in syria without approval by the syrian government they are breaking international law  is considered illegal,2014/9/23,5,2014,good,1
167,thats itthats a battery,2014/9/23,0,2014,normal,1
168,did us get permission to enter syrian airspace or are they once again playing world police once they finish with isis theyll start the propaganda against assad and make some filthy lie up to try to go to war with syria once again i am so sick of all the fighting hostility and wars us keeps starting,2014/9/23,0,2014,normal,1
169,thats it that looked like someone starting a camp fire,2014/9/23,0,2014,normal,1
170,there it goes its oficial now,2014/9/23,0,2014,normal,1
171,they shouldve used a bigger bomb,2014/9/23,1,2014,normal,1
172,the guy in video all he know how to say is allah akhbar lol,2014/9/23,11,2014,good,1
173,looks like a miss captain lol,2014/9/23,0,2014,normal,1
174,fuck america always messing with other peoples business just stay  if syria did the same thing to israel it would be illegal and against international law but for obama its nothing and they have already killed syrian civilians ,2014/9/23,4,2014,good,1
175,you se that light in the horizon that my friend is the light of progress,2014/9/23,5,2014,good,1
176,§Ü§à§Ò§å§ä§à §Ô§à§Ó§à§â§Ú§ä §ã§à§Ý§î §Ó§à§Õ§Ñ §ã§à§Ý§î §Ó§à§Õ§Ñ ,2014/9/23,0,2014,normal,1
177,fake,2014/9/23,0,2014,normal,1
178,cool attack at night without light,2014/9/23,1,2014,normal,1
179,so what theyre bombing isis headquarters or distribution unit how exactly does one bomb isis its not like they have an address or office building they knew the us was coming its not like theyre sitting in their homes  waiting the very premise makes no sense in truth ustrained isis simply provided the pretext to invade syria for pipelines central banks  israel,2014/9/23,14,2014,good,1
180,using violence against violence aint going to change a damn thing in this world when will they learn egocentric greedy arrogant pieces of shi t we need real men to lead us not these jokes in a suit that wear make up you know someone with emotions and feelings that can speak from his heart and not from a script,2014/9/23,1,2014,normal,1
181,awwwi could watch that all day ,2014/9/23,1,2014,normal,1
182,first there was christian dark agesnow its muslim after another thoamericand years may be some techno god or something,2014/9/23,0,2014,normal,1
183,about time the west done something the un is doing what it done in the balkans in the snamely fuck all so good on america for taking action against these fanatical scumbags,2014/9/23,1,2014,normal,1
184,america is warmonger they always kill our people we want sharia to rule over our land not western capitalism just leave us alone,2014/9/23,30,2014,good,1
185,i hope the us pays heavily for this,2014/9/23,10,2014,good,1
186,and so it goes <U+00A0> ww iii begins,2014/9/23,5,2014,good,1
187,why are they always snackbarring,2014/9/23,0,2014,normal,1
188,those isis get fuckt by<U+00A0>tomahawk<U+00A0>missile and shit,2014/9/23,0,2014,normal,1
189,unfortunately a wedding party of  people were killed,2014/9/23,1,2014,normal,1
190,ww<U+00A0>,2014/9/23,0,2014,normal,1
